Symbol,Name,MktVal Co,DPS 25,DPS 24,DPS 23,DPS 22,DPS 21,DPS 20,DPS 19,DPS 18,DPS 17,DPS 16,DPS 15,DPS 14,DPS 13,DPS 12,DPS 11,DPS 10
CNP,"CenterPoint Energy, Inc.","24,307.6",0.81,0.77,0.7,0.7,0.7,1.2,1.1,1.1,1.0,1.0,1.0,0.8,0.8,0.8,0.8,0.8
CNR,"Core Natural Resources, Inc.","4,035.9",0.50,2.20,1.1,0.0,0.0,0.0,0.0,0.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CNRD,"Conrad Industries, Inc.",100.5,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.0,0.0,0.0,#N/A,#N/A,#N/A
CNS,"Cohen & Steers, Inc.","3,705.7",2.36,2.28,2.2,1.8,1.6,1.4,1.3,1.1,1.0,1.0,0.9,0.8,0.7,0.6,0.4,0.2
CNVS,Cineverse Corp. Class A,108.3,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNX,CNX Resources Corporation,"4,948.1",0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.5,0.5,0.4,0.4,0.4
CNXC,Concentrix Corporation,"3,676.3",1.24,1.13,1.0,0.3,0.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CNXN,"PC Connection, Inc.","1,665.3",0.40,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COCO,"Vita Coco Company, Inc.","2,221.7",0.00,0.00,0.0,0.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CODI,Compass Diversified Holdings,461.2,1.00,1.00,1.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
COF,Capital One Financial Corp,"139,729.2",2.40,2.40,2.4,2.0,1.0,1.6,1.6,1.6,1.6,1.5,1.2,1.0,0.2,0.2,0.2,0.5
COFS,"ChoiceOne Financial Services, Inc.",437.7,1.09,1.05,1.0,0.9,0.8,0.8,0.7,0.6,0.6,0.6,0.5,0.5,0.5,0.4,0.4,0.4
COGT,"Cogent Biosciences, Inc.","2,046.0",0.00,0.00,0.0,0.0,0.0,0.0,0.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
COHN,Cohen & Company Inc,286.8,1.00,1.00,1.0,0.5,0.0,0.4,0.8,0.8,0.8,0.8,0.8,0.8,0.8,2.0,1.0,0.0
COHR,Coherent Corp.,"15,481.9",0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COHU,"Cohu, Inc.",913.8,0.00,0.00,0.0,0.0,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
COIN,"Coinbase Global, Inc. Class A","106,920.1",0.00,0.00,0.0,0.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
COKE,"Coca-Cola Consolidated, Inc.","9,882.5",0.40,0.20,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
COLB,"Columbia Banking System, Inc.","5,118.5",1.44,1.38,1.2,1.1,1.3,1.4,1.1,0.9,1.5,1.3,0.9,0.4,1.0,0.3,0.0,0.1
